     name      |  count  |  id   
 SEZER         |   11537 | 57983
 ARSLAN        |   11449 | 60712
 ESENGUL       |   11434 | 57643
 NEVRIYE       |   11354 | 57441
 ULVIYE        |   11350 | 58625
 SARIYE        |   11338 | 57554
 BUKET         |   11329 | 58437
 RUSTEM        |   11312 | 58740
 KORAY         |   11282 | 59648
 ETHEM         |   11177 | 57578
 TUNCER        |   11102 | 57989
 MUCAHIT       |   11073 | 58182
 EZGI          |   11038 | 59598
 SELIN         |   11015 | 58433
 ALTUN         |   10944 | 58889
 AVNI          |   10935 | 59276
 GONCA         |   10915 | 60290
 LATIF         |   10894 | 59365
 MEHMET NURI   |   10888 | 59889
 NAZIF         |   10881 | 59310
 FAZILET       |   10865 | 58014
 RESMIYE       |   10864 | 58000
 SAFFET        |   10860 | 57175
 ABUZER        |   10827 | 64074
 GUZEL         |   10821 | 57103
 EMRIYE        |   10813 | 58667
 SELMAN        |   10793 | 58291
 SUNDUS        |   10780 | 57102
 ABBAS         |   10774 | 59960
 FATMANA       |   10764 | 59559
 MECIT         |   10752 | 57539
 IMRAN         |   10730 | 57450
 NAZIK         |   10690 | 59201
 EVREN         |   10592 | 59196
 MURADIYE      |   10579 | 58810
 SEVGUL        |   10555 | 57978
 SEYDA         |   10542 | 57525
 HICRAN        |   10522 | 58271
 FEYZULLAH     |   10518 | 58515
 VAHIT         |   10510 | 58669
 SADET         |   10501 | 58824
 ISLIM         |   10492 | 65270
 SADI          |   10488 | 57613
 CEVAHIR       |   10474 | 57915
 RECAI         |   10429 | 58804
 AYSER         |   10393 | 58472
 UNZILE        |   10352 | 57660
 DURIYE        |   10343 | 59255
 SEFIK         |   10343 | 58445
 GOKSEL        |   10333 | 57788
 BAHADIR       |   10303 | 59376
 EDIBE         |   10297 | 57275
 YUNUS EMRE    |   10271 | 58671
 CELALETTIN    |   10270 | 57771
 MEHMET SAIT   |   10229 | 58900
 GULESER       |   10201 | 59252
 MUHTEREM      |   10158 | 58327
 AYSE GUL      |   10143 | 58941
 GULTEKIN      |   10024 | 58898
 SOLMAZ        |   10018 | 58176
 BEYTULLAH     |   10006 | 58886
 MEHMET ZEKI   |    9982 | 61183
 EYLEM         |    9971 | 58887
 MUYESSER      |    9962 | 58154
 CELIL         |    9935 | 58196
 MERT          |    9917 | 57326
 NADIYE        |    9916 | 58870
 TALAT         |    9913 | 59269
 HULUSI        |    9898 | 58087
 MEHMET AKIF   |    9896 | 57138
 BEHCET        |    9896 | 58494
 CAGLAR        |    9855 | 58760
 FEYZI         |    9838 | 59215
 KIBAR         |    9830 | 57550
 KOKSAL        |    9828 | 61311
 GULNUR        |    9814 | 59933
 ALAETTIN      |    9782 | 57547
 ERSAN         |    9740 | 57768
 BURCIN        |    9721 | 57567
 IKBAL         |    9674 | 57315
 SEYFI         |    9668 | 59360
 NILAY         |    9663 | 58301
 HAZAL         |    9622 | 58344
 DURKADIN      |    9617 | 58969
 AYTAC         |    9592 | 57074
 ATILA         |    9590 | 58197
 ISKENDER      |    9589 | 59034
 ULKER         |    9576 | 59375
 MEHMET SIRIN  |    9567 | 58550
 VASFIYE       |    9566 | 58482
 NUR           |    9559 | 57209
 ISHAK         |    9546 | 58529
 AYCAN         |    9530 | 57745
 NUH           |    9529 | 58311
 MELIH         |    9527 | 57947
 CIHAT         |    9522 | 60641
 ERAY          |    9520 | 57748
 YILDIRIM      |    9508 | 58943
 FERDA         |    9486 | 57438
 HASRET        |    9468 | 58376
 MIHRIBAN      |    9452 | 57427
 HUSNA         |    9437 | 57912
 ABDULAZIZ     |    9408 | 58365
